# Time [s]	x [m]	y [m]	orientation [rad]	linear velocity [m/s]	angular velocity[rad/s]

1288971970	2.993278	2.993278	2.993278	0	0
1288971970	2.9937811	2.9937811	2.9937811	0	0
1288971970	2.9943096	2.9943096	2.9943096	0	0
1288971970	2.9956229	2.9956229	2.9956229	0.165	0.902
1288971970	2.9948231	2.9948231	2.9948231	0	0
1288971970	2.9952679	2.9952679	2.9952679	0	0
1288971970	2.9956441	2.9956441	2.9956441	0	0
1288971970	2.9959779	2.9959779	2.9959779	0	0
1288971970	2.9962931	2.9962931	2.9962931	0	0
1288971970	2.9966222	2.9966222	2.9966222	0	0
