#	delta x [m]	delta y [m]	delta orientation [rad]

0.0006896	-0.0001592	0.002
0.0014102	-0.0002065	0.0046
0.0014023	-0.0000785	0.0055
0.0013932	-0.0000499	0.0056
0.0014157	0.0000012	0.0058
0.0014366	0.0000268	0.0059
0.0014018	0.0000727	0.0066
0.0012931	0.0000957	0.0074
0.0011529	0.0000302	0.0073
0.0003648	0.0017457	0.0275
0.0011164	-0.0000366	0.0077
0.0011744	-0.0000826	0.0075
0.0011935	-0.0001199	0.0073
0.00059575	-0.00007895	0.0033
0.00059575	-0.00007895	0.0033
0.0012008	-0.000186	0.006
0.0007256	-0.0005457	0.0087
0.0013225	-0.0001949	0.005
0.0012987	-0.0001623	0.0053
0.0012854	-0.0000921	0.0055
0.0013397	-0.0000093	0.0058
0.0014164	0.0000676	0.0061
0.0014585	0.0000541	0.0058
0.0014452	0.0000432	0.0055
0.0013728	0.0000619	-6.27748531
0.0012971	0.0000945	0.0059
0.0006412	0.0000557	0.00295
0.0006412	0.0000557	0.00295
0.0013094	0.0001328	0.0061
0.0013155	0.0001679	0.0063
0.0012699	0.0002336	0.0067
0.0012597	0.0003163	0.0072
0.0012893	0.0003596	0.0074
0.0013253	0.0003595	0.0074
0.0013182	0.0003328	0.0074
0.0013155	0.0003139	0.0074
0.0013127	0.0002482	0.007
0.0013054	0.000168	0.0066
0.0013448	0.0000915	0.0061
0.0006964	0.0000204	0.0028
0.0006964	0.0000204	0.0028
0.0013825	0.0000759	0.0056
0.0013233	0.0001322	0.0059
0.0012728	0.0001892	0.0058
0.0012712	0.0002387	0.0058
0.0013302	0.0002673	0.0057
0.0013506	0.0002805	0.0057
0.0013422	0.0002608	0.0057
0.0013195	0.0002238	0.0056
0.0013307	0.0001602	0.0057
0.0013331	0.0000881	0.0055
0.0013469	0.0000306	0.0053
0.0006541	-0.00001055	0.0025
0.0006541	-0.00001055	0.0025
0.0012346	-0.0000442	0.0048
0.0011756	-0.000065	0.0048
0.0011712	-0.0000379	0.0048
0.0012304	0.0000383	0.005
0.0012745	0.0001472	0.0054
0.0012955	0.0002644	0.0058
0.0013123	0.0003513	0.0063
0.0013907	0.000405	0.0066
0.0014891	0.000429	0.0068
0.001525	0.000431	0.0068
0.0015272	0.0004224	0.0068
0.00073805	0.000197	0.00325
0.00073805	0.000197	0.00325
0.0013869	0.0003768	0.0063
0.0013107	0.0003486	0.0056
0.0012259	0.0003238	0.0052
0.0011556	0.0003088	0.0049
0.0011013	0.0003014	0.0049
0.0011118	0.0003304	0.0049
0.0011737	0.0003948	0.0052
0.0012504	0.0005052	0.0058
0.0013377	0.0006164	0.0063
0.0013888	0.0006953	0.0065
